# 论文附表 A2 所需三条辅助序列（经联网核实，来源见「联网核实报告.md」）
# 用途：S1 人均一般公共预算收入、S2 与全国城乡收入比差距、D2 相对全国水平、D4 人均接待游客
序列,单位,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,核实状态
西藏年末常住人口,万人,330.54,337.15,343.82,350.56,364.81,366,364,365,370,374,"2019、2020(七普)、2021—2025 已核实；2016—2018 未直接确证"
全国农村居民人均可支配收入,元,12363,13432,14617,16021,17131,18931,20133,21691,23119,24456,全部年份已核实
全国城镇居民人均可支配收入,元,33616,36396,39251,42359,43834,47412,49283,51821,54188,56502,全部年份已核实
全国城乡居民收入比,倍,2.7191,2.7097,2.6853,2.6440,2.5588,2.5044,2.4479,2.3890,2.3439,2.3103,由上两行相除得出
